engine,repo,lang,files,phase,wall_s,user_s,sys_s,max_rss_mb
duckdb,ripgrep,rs,0,MISSING,NA,NA,NA,NA
duckdb,gin,go,0,MISSING,NA,NA,NA,NA
duckdb,openclaw/discord,ts,tsx,522,parse,0.47,2.70,0.12,110
duckdb,openclaw/discord,ts,tsx,522,query_find_function_by_name,0.28,0.12,0.01,37
duckdb,openclaw/discord,ts,tsx,522,query_find_callers,0.28,0.12,0.01,37
duckdb,openclaw/discord,ts,tsx,522,query_find_callees,0.28,0.12,0.01,37
duckdb,openclaw/discord,ts,tsx,522,query_find_cycles,0.28,0.12,0.01,39
duckdb,openclaw/discord,ts,tsx,522,query_find_implementations_of,0.28,0.12,0.01,37
duckdb,openclaw/discord,ts,tsx,522,query_export_surface,0.28,0.12,0.01,37
duckdb,openclaw/discord,ts,tsx,522,query_import_depth,0.28,0.12,0.02,44
duckdb,openclaw/ui,ts,tsx,461,parse,0.45,3.17,0.07,129
duckdb,openclaw/ui,ts,tsx,461,query_find_function_by_name,0.28,0.12,0.01,37
duckdb,openclaw/ui,ts,tsx,461,query_find_callers,0.28,0.12,0.01,38
duckdb,openclaw/ui,ts,tsx,461,query_find_callees,0.28,0.12,0.01,38
duckdb,openclaw/ui,ts,tsx,461,query_find_cycles,0.28,0.12,0.01,39
duckdb,openclaw/ui,ts,tsx,461,query_find_implementations_of,0.28,0.12,0.01,37
duckdb,openclaw/ui,ts,tsx,461,query_export_surface,0.28,0.12,0.01,37
duckdb,openclaw/ui,ts,tsx,461,query_import_depth,0.28,0.12,0.01,44
duckdb,tokio,rs,0,MISSING,NA,NA,NA,NA
duckdb,django,py,0,MISSING,NA,NA,NA,NA
